algo,config,param,recall,qps,build_s,index_mb,n,dim
vecsearch-hnsw,"M=16,efC=200",10,0.74319,15522.259136898501,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",16,0.81876,11944.617053458338,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",24,0.86748,9729.25432050048,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",32,0.89623,7615.223425004584,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",48,0.92875,5841.271433804506,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",64,0.94521,4915.688741516382,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",96,0.96298,3592.9036181223373,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",128,0.9707,2832.2041721892383,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",192,0.98001,1994.9824304617905,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",256,0.98455,1573.008278047691,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",384,0.98896,1094.8515482590758,166.26775058400017,1598.8478507995605,1000000,384
vecsearch-hnsw,"M=16,efC=200",512,0.99136,830.6996272321767,166.26775058400017,1598.8478507995605,1000000,384
hnswlib,"M=16,efC=200",10,0.74572,14796.612810895751,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",16,0.81919,11566.432557782988,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",24,0.86841,9390.055137021965,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",32,0.89499,7930.455589035166,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",48,0.92894,5458.459814332231,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",64,0.94591,4732.394328337605,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",96,0.96308,3370.1905914228396,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",128,0.972,2801.8381676727454,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",192,0.98046,1980.5915445161445,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",256,0.98537,1567.1909598134105,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",384,0.98937,1091.502300897134,168.12257340900032,1606.4902572631836,1000000,384
hnswlib,"M=16,efC=200",512,0.99155,843.4701942565277,168.12257340900032,1606.4902572631836,1000000,384
faiss-hnsw,"M=16,efC=200",10,0.7478,15769.589294481762,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",16,0.82409,12117.51000893003,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",24,0.87461,9136.066783676644,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",32,0.90306,7641.61231335137,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",48,0.93213,5568.253977314122,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",64,0.94844,4397.779235652285,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",96,0.96378,3333.3295411146023,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",128,0.97206,2619.155996854676,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",192,0.98081,1832.6646679747578,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",256,0.98534,1393.536742890573,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",384,0.98946,943.159049853035,184.1303965319994,1602.4192447662354,1000000,384
faiss-hnsw,"M=16,efC=200",512,0.99172,729.6067425851587,184.1303965319994,1602.4192447662354,1000000,384
faiss-ivfflat,nlist=4000,1,0.4767,12271.924307911622,99.3509943049994,1478.363169670105,1000000,384
faiss-ivfflat,nlist=4000,2,0.61629,10221.057630825753,99.3509943049994,1478.363169670105,1000000,384
faiss-ivfflat,nlist=4000,4,0.73162,7088.733191494328,99.3509943049994,1478.363169670105,1000000,384
faiss-ivfflat,nlist=4000,8,0.81851,4488.9627811665405,99.3509943049994,1478.363169670105,1000000,384
faiss-ivfflat,nlist=4000,16,0.88084,2723.847394829817,99.3509943049994,1478.363169670105,1000000,384
faiss-ivfflat,nlist=4000,32,0.92362,1534.486274475248,99.3509943049994,1478.363169670105,1000000,384
faiss-ivfflat,nlist=4000,64,0.95182,819.2798916321417,99.3509943049994,1478.363169670105,1000000,384
faiss-ivfflat,nlist=4000,128,0.97116,426.87634486672823,99.3509943049994,1478.363169670105,1000000,384
faiss-ivfflat,nlist=4000,256,0.98375,221.8568186975486,99.3509943049994,1478.363169670105,1000000,384
scann,"leaves=1000,AH2,reorder","(1, 50)",0.46733,29077.898180003074,28.559643078999216,1654.7551670074463,1000000,384
scann,"leaves=1000,AH2,reorder","(2, 50)",0.60662,24367.74546021412,28.559643078999216,1654.7551670074463,1000000,384
scann,"leaves=1000,AH2,reorder","(4, 100)",0.72313,16099.68904271961,28.559643078999216,1654.7551670074463,1000000,384
scann,"leaves=1000,AH2,reorder","(8, 100)",0.81439,12374.16847287969,28.559643078999216,1654.7551670074463,1000000,384
scann,"leaves=1000,AH2,reorder","(16, 100)",0.87969,7887.889415122237,28.559643078999216,1654.7551670074463,1000000,384
scann,"leaves=1000,AH2,reorder","(32, 150)",0.92465,4595.514269901215,28.559643078999216,1654.7551670074463,1000000,384
scann,"leaves=1000,AH2,reorder","(64, 200)",0.95663,2542.0801463933385,28.559643078999216,1654.7551670074463,1000000,384
scann,"leaves=1000,AH2,reorder","(128, 250)",0.97815,1418.3880461455722,28.559643078999216,1654.7551670074463,1000000,384
scann,"leaves=1000,AH2,reorder","(256, 400)",0.99081,742.260463783165,28.559643078999216,1654.7551670074463,1000000,384
scann,"leaves=1000,AH2,reorder","(512, 800)",0.99743,381.7499089391417,28.559643078999216,1654.7551670074463,1000000,384
